Ea,Eb,Ec,Cond.
3903010794.97812,3420487329.40081,525011481.239702,Normal
3903010788.80022,3420487300.24009,525011498.31783,Normal
3903010782.59343,3420487270.29562,525011515.861149,Normal
3903010776.37242,3420487239.96535,525011533.633466,Normal
3903010770.12856,3420487209.01476,525011551.773985,Normal
3903010763.86434,3420487177.51134,525011570.242634,Normal
3903010757.58342,3420487145.55501,525011588.980107,Normal
3903010751.27584,3420487112.87441,525011608.147477,Normal
3903010744.95791,3420487079.91279,525011627.481651,Normal
3903010738.60681,3420487046.05056,525011647.35039,Normal
3903010732.24901,3420487012.00629,525011667.327175,Normal
3903010794.97333,3420487329.37839,525011481.252823,Normal
3903010788.79518,3420487300.21575,525011498.332091,Normal
3903010782.58814,3420487270.27013,525011515.876089,Normal
3903010776.36686,3420487239.93779,525011533.649619,Normal
3903010770.12276,3420487208.986,525011551.790841,Normal
3903010763.85825,3420487177.48041,525011570.26077,Normal
3903010757.5771,3420487145.52285,525011588.998968,Normal
3903010751.26923,3420487112.83996,525011608.167687,Normal
3903010744.95106,3420487079.87705,525011627.502611,Normal
3903010738.59967,3420487046.01242,525011647.372768,Normal
3903010732.24158,3420487011.96567,525011667.351016,Normal
3903010794.96856,3420487329.35602,525011481.265929,Normal
3903010788.79012,3420487300.19141,525011498.346338,Normal
3903010782.58285,3420487270.24464,525011515.891015,Normal
3903010776.36131,3420487239.91027,525011533.665754,Normal
3903010770.11696,3420487208.95727,525011551.807678,Normal
3903010763.85218,3420487177.44951,525011570.278885,Normal
3903010757.57078,3420487145.49071,525011589.01781,Normal
3903010751.26263,3420487112.80553,525011608.187875,Normal
3903010744.94422,3420487079.84137,525011627.523547,Normal
3903010738.59255,3420487045.97432,525011647.39512,Normal
3903010732.23416,3420487011.9251,525011667.37483,Normal
3903010794.96379,3420487329.33367,525011481.279021,Normal
3903010788.78509,3420487300.16713,525011498.360568,Normal
3903010782.57758,3420487270.2192,525011515.905925,Normal
3903010776.35575,3420487239.88278,525011533.68187,Normal
3903010770.11116,3420487208.92858,525011551.824495,Normal
3903010763.84611,3420487177.41866,525011570.29698,Normal
3903010757.56448,3420487145.45862,525011589.036629,Normal
3903010751.25605,3420487112.77116,525011608.208041,Normal
3903010744.93739,3420487079.80571,525011627.54446,Normal
3903010738.58542,3420487045.93627,525011647.417448,Normal
3903010732.22675,3420487011.88457,525011667.398618,Normal
3903010794.95903,3420487329.31133,525011481.292097,Normal
3903010788.78006,3420487300.14287,525011498.374783,Normal
3903010782.57232,3420487270.19378,525011515.920817,Normal
3903010776.35021,3420487239.8553,525011533.697969,Normal
3903010770.10539,3420487208.89992,525011551.841295,Normal
3903010763.84005,3420487177.38782,525011570.315054,Normal
3903010757.55817,3420487145.42656,525011589.055428,Normal
3903010751.24946,3420487112.73682,525011608.228185,Normal
3903010744.93056,3420487079.7701,525011627.56535,Normal
3903010738.57831,3420487045.89826,525011647.43975,Normal
3903010732.21935,3420487011.84408,525011667.422381,Normal
3903010794.95428,3420487329.28902,525011481.305161,Normal
3903010788.77505,3420487300.11864,525011498.388981,Normal
3903010782.56705,3420487270.16839,525011515.935693,Normal
3903010776.34468,3420487239.82786,525011533.71405,Normal
3903010770.09961,3420487208.87128,525011551.858076,Normal
